run_id,dataset,query_idx,user_input,faithfulness,answer_relevancy,context_utilization,cpac_plan_quality,evidence_uncertainty
bm25_only_sample_0,ds002748,0,"CPAC v1.8.7, dataset=OpenNeuro ds002748 (single-site, BIDS-compliant, adult MDD/HC, T1w 1mm isotropic, no T2), rs-fMRI eyes-closed: in anatomical_preproc, what are the recommended configurations for brain extraction, bias-field correction, and spatial normalization, and what are the key failure modes for each choice?",0.34850868124210993,0.4497738720169611,0.1460248537859874,2.2349165596062317,2.173788795311719
bm25_only_sample_1,ds002748,2,"CPAC v1.8.7, ds002748: T1w has mild motion blur; skull-stripping intermittently removes frontal cortex or leaves skull; within anatomical_preproc, which specific options/parameters should be adjusted first to stabilize brain extraction (actionable parameter-level recommendations)?",0.4574019496118723,0.5667794518362603,0.23495954491066381,3.214871600824294,2.322419016036278
bm25_only_sample_2,adhd200,2,"CPAC v1.8.7, ADHD-200: some sites show strong intensity non-uniformity due to coil/scanner differences; within anatomical_preproc, which bias-field correction settings most improve cross-site robustness and what evidence-backed recommended ranges can be stated?",0.43825175218555684,0.6583467134396044,0.22472010499800293,1.6088948968044177,1.0140283993627028
bm25_only_sample_3,adhd200,2,"CPAC v1.8.7, ADHD-200: some sites show strong intensity non-uniformity due to coil/scanner differences; within anatomical_preproc, which bias-field correction settings most improve cross-site robustness and what evidence-backed recommended ranges can be stated?",0.21639237522820431,0.6132728373920928,0.31260379017072965,2.5991544410562217,1.2698030887947682
bm25_only_sample_4,adhd200,2,"CPAC v1.8.7, ADHD-200: some sites show strong intensity non-uniformity due to coil/scanner differences; within anatomical_preproc, which bias-field correction settings most improve cross-site robustness and what evidence-backed recommended ranges can be stated?",0.49643886806334037,0.56986232803942,0.295742930143735,2.280506098203977,2.3918523347815763
bm25_only_sample_5,adhd200,1,"CPAC v1.8.7, ADHD-200: pediatric brains differ in size and CSF proportions; within anatomical_preproc, what systematic biases can arise from adult templates/priors and how should template/parameter choices be adapted locally to this module?",0.29092339922067484,0.5330417014264185,0.24632118048252086,3.1129904613108574,2.557502449010553
bm25_only_sample_6,adhd200,2,"CPAC v1.8.7, ADHD-200: some sites show strong intensity non-uniformity due to coil/scanner differences; within anatomical_preproc, which bias-field correction settings most improve cross-site robustness and what evidence-backed recommended ranges can be stated?",0.30381394033326514,0.6053664375167112,0.20095999134608522,2.2069429951383994,1.8160046184846772
bm25_only_sample_7,ds002748,2,"CPAC v1.8.7, ds002748: T1w has mild motion blur; skull-stripping intermittently removes frontal cortex or leaves skull; within anatomical_preproc, which specific options/parameters should be adjusted first to stabilize brain extraction (actionable parameter-level recommendations)?",0.46255357749443493,0.5102918272850366,0.4533168201084971,3.2445836017098784,1.5752758804832219
bm25_only_sample_8,ds002748,0,"CPAC v1.8.7, dataset=OpenNeuro ds002748 (single-site, BIDS-compliant, adult MDD/HC, T1w 1mm isotropic, no T2), rs-fMRI eyes-closed: in anatomical_preproc, what are the recommended configurations for brain extraction, bias-field correction, and spatial normalization, and what are the key failure modes for each choice?",0.37840823486129166,0.5013221082293847,0.4942173795597583,2.5543957025576804,3.2546105791341953
bm25_only_sample_9,adhd200,2,"CPAC v1.8.7, ADHD-200: some sites show strong intensity non-uniformity due to coil/scanner differences; within anatomical_preproc, which bias-field correction settings most improve cross-site robustness and what evidence-backed recommended ranges can be stated?",0.36709002112214695,0.4373314990156392,0.49014565803043686,2.6037204095618818,2.3662446158796433
bm25_only_sample_10,ds002748,2,"CPAC v1.8.7, ds002748: T1w has mild motion blur; skull-stripping intermittently removes frontal cortex or leaves skull; within anatomical_preproc, which specific options/parameters should be adjusted first to stabilize brain extraction (actionable parameter-level recommendations)?",0.4524908552209206,0.5758415418898849,0.075801353021683,2.8343072489777925,2.44812627833541
